"Seas","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
2,431523,0,0,0,36237.2,463734,597.322,3780.99,0,0,36237.2,463734,597.322,3780.99,0,0.306188,0.00586542,0,NA,NA,2002,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,25766200,10351.7,193349,0,0,37325,252688,10351.7,193349,0,0,37325,252688,1.53623,0,0.356977,0.305014,1.86012,1.86012,2003,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,341400,0,0,0,21339.7,441768,2619.03,17059.5,0,0,21339.7,441768,2619.03,17059.5,0,0.18246,0.0340762,0,NA,NA,2003,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,14402900,17062.3,313364,0,0,47046,360363,17062.3,313364,0,0,47046,360363,0.892489,0,0.500193,0.276779,1.99066,1.99066,2004,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,605348,0,0,0,25297.2,368169,1016.44,7508.99,0,0,25297.2,368169,1016.44,7508.99,0,0.0693966,0.0140642,0,NA,NA,2004,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,18199900,13806.8,212606,0,0,54533.2,466458,13806.8,212606,0,0,54533.2,466458,0.652752,0,0.446208,0.265434,0.896234,0.896234,2005,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,867290,0,0,0,30354.4,443712,101.701,784.684,0,0,30354.4,443712,101.701,784.684,0,0.10411,0.0010251,0,NA,NA,2005,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,6362950,20734.5,293266,0,0,41355.5,323475,20734.5,293266,0,0,41355.5,323475,0.902314,0,0.201164,0.204924,0.566276,0.566276,2006,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,1019760,0,0,0,39944.4,509245,0,0,0,0,39944.4,509245,0,0,0,0.130678,0,0,NA,NA,2006,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,4646050,46284.3,550481,0,0,48342.4,349350,46284.3,550481,0,0,48342.4,349350,2.95781,0,0.190922,0.339227,0.0498777,0.0498777,2007,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,908684,0,0,0,43002.2,519259,0,0,0,0,43002.2,519259,0,0,0,0.29455,0,0,NA,NA,2007,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,2742390,30344,342287,0,0,39867.1,267965,30344,342287,0,0,39867.1,267965,2.97262,0,0.162508,0.373634,0.448407,0.448407,2008,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,674197,0,0,0,41509.2,477498,0,0,0,0,41509.2,477498,0,0,0,0.414507,0,0,NA,NA,2008,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,3949780,14072.5,168400,0,0,45031.8,287246,14072.5,168400,0,0,45031.8,287246,2.28648,0,0.239499,0.405239,1.16382,1.16382,2009,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,450303,0,0,0,31363.7,419540,1370.12,8360.3,0,0,31363.7,419540,1370.12,8360.3,0,0.505853,0.00998665,0,NA,NA,2009,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,7592640,11288.8,177023,0,0,54874.2,345113,11288.8,177023,0,0,54874.2,345113,2.14734,0,0.453372,0.399411,-0.871771,-0.871771,2010,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,302163,0,0,0,27330.9,430190,0.09,0.549346,0,0,27330.9,430190,0.09,0.549346,0,0.348242,1.06856e-06,0,NA,NA,2010,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,910915,24889.7,384763,0,0,40526.3,272578,24889.7,384763,0,0,40526.3,272578,3.7458,0,0.525942,0.435821,-2.5622,-2.5622,2011,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,285097,0,0,0,23148.5,297982,5833.78,37847.2,0,0,23148.5,297982,5833.78,37847.2,0,0.246484,0.110181,0,NA,NA,2011,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,165557,1528.45,16665.3,0,0,99053.7,730351,1528.45,16665.3,0,0,99053.7,730351,0.429271,0,2.00431,0.589165,-2.26541,-2.26541,2012,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
2,175168,0,0,0,13861.4,142921,1572.81,11015.7,0,0,13861.4,142921,1572.81,11015.7,0,0.549926,0.0558636,0,NA,NA,2012,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
1,NA,191680,921.365,8225.88,0,0,58011.8,404235,921.365,8225.88,0,0,58011.8,404235,0.711561,0,1.69343,0.60191,-1.00708,-1.00708,2013,"constGrowthOMfixedParamsEM_EM_2020","1","constGrowth_compNsamp"
