"Seas","SpawnBio","Recruit_0","retainB_1","retainN_1","retainB_2","retainN_2","retainB_3","retainN_3","deadB_1","deadN_1","deadB_2","deadN_2","deadB_3","deadN_3","F_1","F_2","F_3","SPRratio","rec_dev","raw_rec_dev","year","model_run","iteration","scenario"
1,NA,5262000,711.727,7519.64,0,0,13.1772,86.6323,711.727,7519.64,0,0,13.1772,86.6323,0.0212647,0,0.00121542,0,0.345275,0.345275,2025,"margComp_20210921_OM",7,"margComps_highDatQual"
2,88084.8,0,0,0,37879.8,572595,4.57194,28.3181,0,0,37879.8,572595,4.57194,28.3181,0,1.0316,0.000580218,0,NA,NA,2025,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,3588550,221.459,3401.67,0,0,2.62823,17.7746,221.459,3401.67,0,0,2.62823,17.7746,0.00547306,0,0.000221086,0,-0.978724,-0.978724,2026,"margComp_20210921_OM",7,"margComps_highDatQual"
2,148377,0,0,0,20314.7,269994,1.04704,6.6513,0,0,20314.7,269994,1.04704,6.6513,0,0.242175,0.000111219,0,NA,NA,2026,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,1343060,1259.45,14681.2,0,0,8.28364,58.3457,1259.45,14681.2,0,0,8.28364,58.3457,0.0153782,0,0.000542262,0,-0.944291,-0.944291,2027,"margComp_20210921_OM",7,"margComps_highDatQual"
2,207503,0,0,0,59957.3,653045,3.20226,20.5867,0,0,59957.3,653045,3.20226,20.5867,0,0.710789,0.000273818,0,NA,NA,2027,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,1673380,449.8,4469.76,0,0,6.7914,46.4154,449.8,4469.76,0,0,6.7914,46.4154,0.00732759,0,0.000322878,0,-0.966121,-0.966121,2028,"margComp_20210921_OM",7,"margComps_highDatQual"
2,165060,0,0,0,26270.3,264580,2.69487,16.9878,0,0,26270.3,264580,2.69487,16.9878,0,0.43213,0.000166821,0,NA,NA,2028,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,1446980,123.322,1333.71,0,0,3.3943,21.6069,123.322,1333.71,0,0,3.3943,21.6069,0.00314469,0,0.000122327,0.826508,-1.36497,-1.36497,2029,"margComp_20210921_OM",7,"margComps_highDatQual"
2,142887,0,0,0,11842.6,129460,1.41434,8.45546,0,0,11842.6,129460,1.41434,8.45546,0,0.240219,6.51261e-05,0,NA,NA,2029,"margComp_20210921_OM",7,"margComps_highDatQual"
1,NA,0,5.78,64.9289,0,0,0,0,5.78,64.9289,0,0,0,0,8.20672e-05,0,0,0.000587713,-0.650479,-0.650479,1981,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,207352,0,0,0,57.15,625.552,0,0,0,0,57.15,625.552,0,0,0,0.000659765,0,0,NA,NA,1981,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,1644690,73.94,778.72,0,0,0,0,73.94,778.72,0,0,0,0,0.00108828,0,0,0.00475789,0.513361,0.513361,1982,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,221734,0,0,0,412.76,4173.21,0,0,0,0,412.76,4173.21,0,0,0,0.00496165,0,0,NA,NA,1982,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,5136290,213.19,2264.1,0,0,0,0,213.19,2264.1,0,0,0,0,0.00360309,0,0,0.00416305,0.0284861,0.0284861,1983,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,221048,0,0,0,159.12,1901.6,0,0,0,0,159.12,1901.6,0,0,0,0.00192912,0,0,NA,NA,1983,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,2980710,75.39,868.511,0,0,0,0,75.39,868.511,0,0,0,0,0.000953731,0,0,0.0196358,-0.527364,-0.527364,1984,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,323230,0,0,0,3495.8,35425,0,0,0,0,3495.8,35425,0,0,0,0.0254031,0,0,NA,NA,1984,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,1902850,819.43,7244.33,0,0,0,0,819.43,7244.33,0,0,0,0,0.00655143,0,0,0.009739,-0.0291603,-0.0291603,1985,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,376127,0,0,0,1019,8429.98,0,0,0,0,1019,8429.98,0,0,0,0.00725572,0,0,NA,NA,1985,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,3274160,387.71,3185.18,0,0,0,0,387.71,3185.18,0,0,0,0,0.00394678,0,0,0.0180839,0.000357459,0.000357459,1986,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,335390,0,0,0,2278.89,20502.7,0,0,0,0,2278.89,20502.7,0,0,0,0.0200377,0,0,NA,NA,1986,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,3233840,2247.31,21657.8,0,0,0,0,2247.31,21657.8,0,0,0,0,0.0279043,0,0,0.0419606,0.144418,0.144418,1987,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,342077,0,0,0,3639.76,34334,0,0,0,0,3639.76,34334,0,0,0,0.0314445,0,0,NA,NA,1987,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,3762800,2179.91,20848.6,0,0,0,0,2179.91,20848.6,0,0,0,0,0.0231756,0,0,0.0343507,-0.639848,-0.639848,1988,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,326201,0,0,0,2614.75,27061,0,0,0,0,2614.75,27061,0,0,0,0.021917,0,0,NA,NA,1988,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,1686820,7290.44,71913.5,0,0,0,0,7290.44,71913.5,0,0,0,0,0.074297,0,0,0.090888,-0.9512,-0.9512,1989,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,371496,0,0,0,8031.52,69236.8,0,0,0,0,8031.52,69236.8,0,0,0,0.0603255,0,0,NA,NA,1989,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,1296460,6158.41,50187.2,0,0,0,0,6158.41,50187.2,0,0,0,0,0.063927,0,0,0.151332,0.243406,0.243406,1990,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,310561,0,0,0,14443.5,120020,0,0,0,0,14443.5,120020,0,0,0,0.157045,0,0,NA,NA,1990,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,4002300,24698,232879,0,0,0,0,24698,232879,0,0,0,0,0.492083,0,0,0.38159,0.398284,0.398284,1991,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,216172,0,0,0,10323.5,114014,0,0,0,0,10323.5,114014,0,0,0,0.171205,0,0,NA,NA,1991,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,3982070,43433.3,622626,0,0,3.9,21.5923,43433.3,622626,0,0,3.9,21.5923,1.13652,0,7.02875e-05,0.696017,1.4059,1.4059,1992,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,158687,0,0,0,30776.4,473735,0.18,0.961047,0,0,30776.4,473735,0.18,0.961047,0,0.55799,4.5582e-06,0,NA,NA,1992,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,9273450,822.8,12783.6,0,0,0,0,822.8,12783.6,0,0,0,0,0.0154877,0,0,0.0999813,1.58536,1.58536,1993,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,195766,0,0,0,11345.8,172818,0,0,0,0,11345.8,172818,0,0,0,0.116259,0,0,NA,NA,1993,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,12421500,8838.65,133095,0,0,0,0,8838.65,133095,0,0,0,0,0.0842275,0,0,0.211545,0.468406,0.468406,1994,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,316777,0,0,0,39748.4,597792,0,0,0,0,39748.4,597792,0,0,0,0.22147,0,0,NA,NA,1994,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,5051550,5993.28,83065,0,0,22.68,177.404,5993.28,83065,0,0,22.68,177.404,0.0337521,0,0.000428608,0.10512,0.720195,0.720195,1995,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,476687,0,0,0,26565.7,339348,0,0,0,0,26565.7,339348,0,0,0,0.107745,0,0,NA,NA,1995,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,7483230,11917.3,139414,0,0,0,0,11917.3,139414,0,0,0,0,0.0597023,0,0,0.108741,1.19232,1.19232,1996,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,527711,0,0,0,19158.7,221779,43.54,308.995,0,0,19158.7,221779,43.54,308.995,0,0.0899718,0.000587509,0,NA,NA,1996,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,12357500,13018.2,164929,0,0,27.22,198.215,13018.2,164929,0,0,27.22,198.215,0.089618,0,0.00020749,0.150237,1.24371,1.24371,1997,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
2,519345,0,0,0,24527.6,330247,0.82,5.47864,0,0,24527.6,330247,0.82,5.47864,0,0.118377,7.77564e-06,0,NA,NA,1997,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
1,NA,12950900,18925.2,273596,0,0,488.25,3370.59,18925.2,273596,0,0,488.25,3370.59,0.112367,0,0.00363949,0.251558,-0.10453,-0.10453,1998,"margCompsOMfixedSelexEM_EM_2020",7,"margComps_highDatQual"
